"Timestamp","Outdoor Temperature","Outdoor Humidity","Dew Point","Heat Index","Wind Chill","Barometric Pressure","Rain","Wind Speed","Wind Average","Peak Wind","Wind Direction","Indoor Temperature","Indoor Humidity"
"2022-05-06 1:00:00 PM","15.11111","37","0","15","15","1004","709.93","6","6","17","225","21.16667","36"
"2022-05-06 1:12:00 PM","15.27778","36","0","15.55556","15.55556","1004","709.93","8","7","17","337.5","21","35"
"2022-05-06 1:24:00 PM","14.77778","35","-0.5555556","15","14.44444","1004","709.93","9","9","17","270","20.88889","35"
"2022-05-06 1:36:00 PM","15.38889","37","0","15.55556","15","1004","709.93","15","7","17","337.5","20.88889","35"
"2022-05-06 1:48:00 PM","15.11111","37","0","15","15","1004","709.93","8","8","17","360","21","35"
"2022-05-06 2:00:00 PM","15","38","0.5555556","15","15","1004","709.93","8","9","17","270","21","35"
"2022-05-06 2:12:00 PM","15.27778","38","0.5555556","15.55556","15","1004","709.93","11","9","17","292.5","20.88889","35"
"2022-05-06 2:24:00 PM","15.22222","39","1.111111","15","13.88889","1004","709.93","15","11","17","315","20.88889","35"
"2022-05-06 2:36:00 PM","15","38","0.5555556","15","15","1004","709.93","7","9","17","337.5","20.88889","35"
"2022-05-06 2:48:00 PM","14.38889","38","-0.5555556","14.44444","13.88889","1004","709.93","11","8","17","247.5","21","35"
"2022-05-06 3:00:00 PM","15.38889","38","0.5555556","15.55556","15.55556","1004","709.93","7","10","17","270","21.05556","35"
"2022-05-06 3:12:00 PM","15.38889","38","0.5555556","15.55556","15.55556","1004","709.93","5","6","17","22.5","21","35"
"2022-05-06 3:24:00 PM","15.77778","37","1.111111","15.55556","15.55556","1004","709.93","10","9","17","22.5","20.88889","35"
"2022-05-06 3:36:00 PM","15.22222","36","0","15","15","1004","709.93","5","11","19","292.5","20.77778","35"
"2022-05-06 3:48:00 PM","16.11111","35","0","16.11111","16.11111","1004","709.93","4","6","19","270","20.77778","35"
"2022-05-06 4:00:00 PM","15.88889","35","0","16.11111","16.11111","1004","709.93","8","8","19","292.5","20.88889","35"
"2022-05-06 4:12:00 PM","15.77778","36","0.5555556","15.55556","15.55556","1004","709.93","7","10","21","360","20.88889","35"
"2022-05-06 4:24:00 PM","16.38889","35","0","16.66667","16.11111","1004","709.93","15","9","21","360","21","35"
"2022-05-06 4:36:00 PM","17.72222","30","0","17.77778","17.77778","1004","709.93","7","10","21","360","21.05556","35"
"2022-05-06 4:48:00 PM","19","29","0","24.44444","18.88889","1004","709.93","7","8","23","270","21.27778","34"
"2022-05-06 5:00:00 PM","20.61111","28","1.666667","23.88889","20.55556","1004","709.93","8","6","23","270","22.05556","32"
"2022-05-06 5:12:00 PM","19.22222","28","0","23.88889","19.44444","1004","709.93","8","8","23","270","22.77778","30"
"2022-05-06 5:24:00 PM","19.5","28","0.5555556","23.88889","19.44444","1004","709.93","9","8","23","22.5","23.5","30"
"2022-05-06 5:36:00 PM","19.11111","28","0","23.88889","18.88889","1004","709.93","8","9","23","270","24","29"
"2022-05-06 5:48:00 PM","17.72222","28","-1.111111","17.77778","17.77778","1004","709.93","10","10","23","270","24.16667","29"
"2022-05-06 6:00:00 PM","18.38889","29","-0.5555556","24.44444","18.33333","1004","709.93","8","10","17","360","24.27778","29"
"2022-05-06 6:12:00 PM","18.22222","28","-1.111111","24.44444","18.33333","1004","709.93","9","10","17","292.5","24.27778","28"
"2022-05-06 6:24:00 PM","19.27778","27","-0.5555556","23.88889","19.44444","1004","709.93","11","7","17","22.5","24.27778","29"
"2022-05-06 6:36:00 PM","19.22222","26","-1.111111","23.88889","19.44444","1004","709.93","7","6","17","360","24.16667","27"
"2022-05-06 6:48:00 PM","19","28","0","23.88889","18.88889","1004","709.93","9","6","17","360","24.27778","28"
"2022-05-06 7:00:00 PM","19.27778","29","0","24.44444","19.44444","1004","709.93","7","8","17","360","24.88889","28"
"2022-05-06 7:12:00 PM","17.61111","31","0.5555556","17.77778","17.77778","1004","709.93","8","7","17","22.5","25.16667","28"
"2022-05-06 7:24:00 PM","16.5","34","0.5555556","16.66667","16.66667","1004","709.93","5","5","14","337.5","24.88889","28"
"2022-05-06 7:36:00 PM","16.22222","35","0","16.11111","16.11111","1005","709.93","4","7","16","247.5","24.55556","27"
"2022-05-06 7:48:00 PM","15.88889","35","0","16.11111","16.11111","1005","709.93","0","3","16","157.5","24.5","27"
"2022-05-06 8:00:00 PM","16.11111","37","1.111111","16.11111","16.11111","1005","709.93","0","2","16","202.5","24.77778","27"
"2022-05-06 8:12:00 PM","15.11111","39","1.111111","15","15","1005","709.93","3","2","16","112.5","24.5","27"
