
2021-11-20;00-00-10-945753  ;;;  b'Strike Detected! reading of; -344; High, Low; 237, -186; Current Danger Level; 6; at tic; 360001779'
2021-11-20;00-00-47-795426  ;;;  b'Strike Detected! reading of; -319; High, Low; 207, -187; Current Danger Level; 5; at tic; 360038714\r\n'
2021-11-20;00-00-47-910375  ;;;  b'Strike Detected! reading of; -251; High, Low; 207, -187; Current Danger Level; 6; at tic; 360038716'
2021-11-20;00-00-58-190126  ;;;  b'Strike Detected! reading of; 282; High, Low; 207, -187; Current Danger Level; 6; at tic; 360049087\r\n'
2021-11-20;00-04-24-835289  ;;;  b'Strike Detected! reading of; -251; High, Low; 225, -183; Current Danger Level; 5; at tic; 360255760\r\n'
2021-11-20;00-04-24-859299  ;;;  b'Strike Detected! reading of; -289; High, Low; 225, -183; Current Danger Level; 6; at tic; 360255762\r\n'
2021-11-20;00-07-50-733060  ;;;  b'Strike Detected! reading of; -315; High, Low; 234, -186; Current Danger Level; 6; at tic; 360461644\r\n'
2021-11-20;00-08-35-288245  ;;;  b'Strike Detected! reading of; 529; High, Low; 231, -215; Current Danger Level; 5; at tic; 360506123'
2021-11-20;00-11-19-863136  ;;;  b'Strike Detected! reading of; -296; High, Low; 244, -189; Current Danger Levl; 6; at tic; 360670788\r\n'
2021-11-20;00-13-37-139697  ;;;  b'Strike Detected! reading of; 280; High, Low; 208, -170; Current Danger Level; 5; at tic; 360807977'
2021-11-20;00-15-16-681357  ;;;  b'Strike Detected! reading of; 314; High, Low; 235, -186; Current Danger Level; 6; at tic; 360907523'
2021-11-20;00-16-31-154278  ;;;  b'Strike Detected! reading of; -320; High, Low; 235, -191; Current Danger Level; 5; at tic; 360982073\r\n'
2021-11-20;00-18-13-080780  ;;;  b'Strike Detected! reading of; -283; High, Low; 233, -192; Current Danger Level; 6; at tic; 361083999\r\n'
2021-11-20;00-21-02-347330  ;;;  b'Strike Detected! reading of; 395; High, Low; 209, -169; Current Danger Level; 5; at tic; 361253190'
2021-11-20;00-28-28-226165  ;;;  b'Strike Detected! reading of; 333; High, Low; 202, -164; Current Danger Level; 4; at tic; 361699151\r\n'
2021-11-20;00-30-11-918157  ;;;  b'Strike Detected! reading of; -222; High, Low; 198, -158; Current Danger Level; 5; at tic; 361802806\r\n'
2021-11-20;00-30-11-936151  ;;;  b'Strike Detected! reading of; -301; High, Low; 198, -158; Current Danger Level; 6; at tic; 361802808\r\n'
2021-11-20;00-37-06-386606  ;;;  b'Strike Detected! reading of; -308; High, Low; 200, -162; Current Danger Level; 4; at tic; 362217308\r\n'
2021-11-20;00-40-22-249556  ;;;  b'Strike Detected! reading of; -290; High, Low; 199, -171; Current Danger Level; 4; at tic; 362413219\r\n'
2021-11-20;00-40-22-405803  ;;;  b'Strike Detected! reading of; -249; High, Low; 199, -171; Current Danger Level; 5; at tic; 362413221'
2021-11-20;00-40-32-964432  ;;;  b'Strike Detected! reading of; -344; High, Low; 199, -171; Current Danger Level; 6; at tic; 362423816'
2021-11-20;00-42-09-597803  ;;;  b'Strike Detected! reading of; 561; High, Low; 230, -187; Current Danger Level; 6; at tic; 362520569\r\n'
2021-11-20;00-42-09-707175  ;;;  b'Strike Detected! reading of; 326; High, Low; 230, -187; Current Danger Level; 6; at tic; 362520571'
2021-11-20;00-45-49-824857  ;;;  b'Strike Detected! reading of; -271; High, Low; 198, -159; Current Danger Level; 5; at tic; 362740767\r\n'
2021-11-20;00-46-59-805028  ;;;  b'Strike Detected! reading of; 446; High, Low; 223, -194; Current Danger Level; 6; at tic; 362810665'
2021-11-20;00-47-33-245357  ;;;  b'Strike Detected! reading of; -335; High, Low; 285, -187; Current Danger Level; 6; at tic; 362844186\r\n'
2021-11-20;00-55-53-736355  ;;;  b'Strike Detected! reading of; 354; High, Low; 211, -165; Current Danger Level; 4; at tic; 363344606'
2021-11-20;00-57-57-426606  ;;;  b'Strike Detected! reading of; -339; High, Low; 201, -162; Current Danger Level; 4; at tic; 363468354\r\n'
2021-11-20;00-57-57-567229  ;;;  b'Strike Detected! reading of; -278; High, Low; 201, -162; Current Danger Level; 5; at tic; 363468438'
2021-11-20;01-00-10-900500  ;;;  b'Strike Detected! reading of; 333; High, Low; 241, -187; Current Danger Level; 6; at tic; 363601780'
2021-11-20;01-01-20-062553  ;;;  b'Strike Detected! reading of; 371; High, Low; 219, -161; Current Danger Level; 5; at tic; 363670939'
2021-11-20;01-01-27-890846  ;;;  b'Strike Detected! reading of; 332; High, Low; 219, -161; Current Danger Level; 6; at tic; 363678849\r\n'
2021-11-20;01-03-10-052040  ;;;  b'Strike Detected! reading of; -334; High, Low; 234, -176; Current Danger Level; 6; at tic; 363780932'
2021-11-20;01-03-14-614575  ;;;  b'Strike Detected! reading of; -316; High, Low; 234, -176; Current Danger Level; 6; at tic; 363785581\r\n'
2021-11-20;01-10-12-499581  ;;;  b'Strike Detected! reading of; -315; High, Low; 197, -154; Current Danger Level; 4; at tic; 364203470\r\n'
2021-11-20;01-11-56-192252  ;;;  b'Strike Detected! reading of; -349; High, Low; 198, -157; Current Danger Level; 5; at tic; 364307154\r\n'
2021-11-20;01-13-40-055700  ;;;  b'Strike Detected! reading of; -230; High, Low; 198, -168; Current Danger Level; 5; at tic; 364410928'
2021-11-20;01-16-12-341948  ;;;  b'Strike Detected! reading of; -246; High, Low; 231, -182; Current Danger Level; 5; at tic 364563234'
2021-11-20;01-18-53-697183  ;;;  b'Strike Detected! reading of; 337; High, Low; 236, -185; Current Danger Level; 6; at tic; 364724672\r\n'
2021-11-20;01-22-24-112766  ;;;  b'Strike Detected! reading of; 328; High, Low; 197, -162; Current Danger Level; 5; at tic; 364935076\r\n'
2021-11-20;01-24-09-167747  ;;;  b'Strike Detected! reading of; 313; High, Low; 230, -174; Current Danger Level; 6; at tic; 365040134\r\n'
2021-11-20;01-27-36-973042  ;;;  b'Strike Detected! reading of; -338; High, Low; 193, -152; Current Danger Level; 5; at tic; 365247943\r\n'
2021-11-20;01-32-44-752454  ;;;  b'Strike Detected! reading of; 331; High, Low; 198, -151; Current Danger Level; 4; at tic; 365555733\r\n'
2021-11-20;01-36-13-403058  ;;;  b'Strike Detected! reading of; 289; High, Low; 194, -165; Current Danger Level; 4; at tic; 365764382\r\n'
2021-11-20;01-39-39-545323  ;;;  b'Strike Detected! reading of; -318; High, Low; 196, -156; Current Danger Level; 5; at tic; 365970447'
2021-11-20;01-43-09-151415  ;;;  b'Strike Detected! reading of; 271; High, Low; 198, -153; Current Danger Level; 5; at tic; 366180147\r\n'
2021-11-20;01-43-09-166410  ;;;  b'Strike Detected! reading of; 277; High, Low; 198, -153; Current Danger Level; 6; at tic; 366180150\r\n'
2021-11-20;01-44-12-327708  ;;;  b'Strike Detected! reading of; -295; High, Low; 237, -171; Current Danger Level; 5; at tic; 366243241'
