
2021-12-03;00-01-30-759788  ;;;  b'Strike Detected! reading of; -214; High, Low; 187, -137; Current Danger Level; 5; at tic; 624789176\r\n'
2021-12-03;00-01-30-784775  ;;;  b'Strike Detected! reading of; -276; High, Low; 187, -137; Current Danger Level; 6; at tic; 624789179\r\n'
2021-12-03;00-06-39-414688  ;;;  b'Strike Detected! reading of; 269; High, Low; 185, -138; Current Danger Level; 5; at tic; 625097823\r\n'
2021-12-03;00-06-39-431683  ;;;  b'Strike Detected! reading of; 305; High, Low; 185, -138; Current Danger Level; 6; at tic; 625097825\r\n'
2021-12-03;00-10-04-291608  ;;;  b'Strike Detected! reading of; 299; High, Low; 182, -141; Current Danger Level; 5; at tic; 625302711\r\n'
2021-12-03;00-10-04-308602  ;;;  b'Strike Detected! reading of; 253; High, Low; 182, -141; Current Danger Level; 6; at tic; 625302713\r\n'
2021-12-03;00-10-04-345591  ;;;  b'Strike Detected! reading of; -232; High, Low; 182, -141; Current Danger Level; 6; at tic; 625302734\r\n'
2021-12-03;00-10-04-499542  ;;;  b'Strike Detected! reading of; -278; High, Low; 182, -141; Current Danger Level; 6; at tic; 625302736'
2021-12-03;00-13-30-572260  ;;;  b'Strike Detected! reading of; -191; High, Low; 192, -139; Current Danger Level; 5; at tic; 625508980\r\n'
2021-12-03;00-13-30-690215  ;;;  b'Strike Detected! reading of; -289; High, Low; 192, -139; Current Danger Level; 6; at tic; 625508983'
2021-12-03;00-15-12-760197  ;;;  b'Strike Detected! reading of; -226; High, Low; 204, -163; Current Danger Level; 6; at tic; 625611175\r\n'
2021-12-03;00-16-22-702081  ;;;  b'Strike Detected! reading of; 358; High, Low; 209, -162; Current Danger Level; 6; at tic; 625681114\r\n'
2021-12-03;00-16-22-822074  ;;;  b'Strike Detected! reading of; 300; High, Low; 209, -162; Current Danger Level; 6; at tic; 625681116'
2021-12-03;00-20-21-025032  ;;;  b'Strike Detected! reading of; 261; High, Low; 181, -136; Current Danger Level; 5; at tic; 625919331'
2021-12-03;00-22-04-410006  ;;;  b'Strike Detected! reading of; 268; High, Low; 183, -135; Current Danger Level; 5; at ti; 626022830\r\n'
2021-12-03;00-23-47-644273  ;;;  b'Strike Detected! reading of; -270; High, Low; 211, -155; Current Danger Level; 6; at tic; 626126055\r\n'
2021-12-03;00-24-26-016718  ;;;  b'Strike Detected! reading of; 283; High, Low; 207, -183; Current Danger Level; 5; at tic; 626164350'
2021-12-03;00-34-53-552277  ;;;  b'Strike Detected! reading of; 139; High, Low; 54, 0; Current Danger Level; 4; at tic; 626789636\r\n'
2021-12-03;00-34-53-592283  ;;;  b'Strike Detected! reading of; 92; High, Low; 54, 0; Current Danger Level; 5; at tic; 626789638\r\n'
2021-12-03;00-34-53-732265  ;;;  b'Strike Detected! reading of; 78; High, Low; 54, 0; Current Danger Level; 6; at tic; 626789640'
2021-12-03;00-34-58-271999  ;;;  b'Strike Detected! reading of; 75; High, Low; 54, 0; Current Danger Level; 6; at tic; 626796604'
2021-12-03;00-35-00-296882  ;;;  b'Strike Detected! reading of; 74; High, Low; 54, 0; Current Danger Level; 6; at tic; 626798621'
2021-12-03;00-58-53-032462  ;;;  b'Strike Detected! reading of; -18; High, Low; 55, 0; Current Danger Level; 1; at tic; 628231476\r\n'
