
2021-12-04;00-02-40-787925  ;;;  b'Strike Detected! reading of; 247; High, Low; 159, -205; Current Danger Level; 4; at tic; 43116581\r\n'
2021-12-04;00-02-40-812924  ;;;  b'Strike Detected! reading of; 246; High, Low; 159, -205; Current Danger Level; 5; at tic; 43116583\r\n'
2021-12-04;00-04-24-003068  ;;;  b'Strike Detected! reading of; -270; High, Low; 203, -192; Current Danger Level; 5; at tic; 43219767\r\n'
2021-12-04;00-13-01-991811  ;;;  b'Strike Detected! reading of; 252; High, Low; 167, -178; Current Danger Level; 4; at tic; 43737765\r\n'
2021-12-04;00-47-35-228827  ;;;  b'Strike Detected! reading of; 246; High, Low; 173, -180; Current Danger Level; 1; at tic; 45811025\r\n'
2021-12-04;00-47-35-373816  ;;;  b'Strike Detected! reading of; -255; High, Low; 173, -180; Current Danger Level; 2; at tic; 45811068'
2021-12-04;00-52-45-855214  ;;;  b'Strike Detected! reading of; 249; High, Low; 182, -178; Current Danger Level; 1; at tic; 46121570'
2021-12-04;00-54-29-111419  ;;;  b'Strike Detected! reading of; 248; High, Low; 179, -179; Current Danger Level; 2; at tic; 46224838'
2021-12-04;00-56-20-971809  ;;;  b'Strike Detected! reading of; -264; High, Low; 176, -175; Current Danger Level; 2; at tic; 46336663'
2021-12-04;00-58-07-836070  ;;;  b'Strike Detected! reading of; 664; High, Low; 177, -181; Current Danger Level; 3; at tic; 46443673\r\n'
2021-12-04;00-58-07-950034  ;;;  b'Strike Detected! reading of; 260; High, Low; 177, -181; Current Danger Level; 4; at tic; 46443675'
2021-12-04;01-08-06-152018  ;;;  b'Strike Detected! reading of; 251; High, Low; 178, -177; Current Danger Level; 2; at tic; 47041880'
2021-12-04;01-11-41-156290  ;;;  b'Strike Detected! reading of; -256; High, Low; 174, -177; Current Danger Level; 3; at tic; 47256879\r\n'
2021-12-04;01-16-51-151366  ;;;  b'Strike Detected! reading of; 238; High, Low; 173, -183; Current Danger Level; 2; at tic; 47566958\r\n'
2021-12-04;01-18-34-125192  ;;;  b'Strike Detected! reading of; 243; High, Low; 176, -178; Current Danger Level; 3; at tic; 47669880\r\n'
2021-12-04;01-20-17-195183  ;;;  b'Strike Detected! reading of; 260; High, Low; 166, -177; Current Danger Level; 3; at tic; 47773038\r\n'
2021-12-04;01-25-27-118604  ;;;  b'Strike Detected! reading of; -269; High, Low; 170, -177; Current Danger Level; 3; at tic; 48082941\r\n'
2021-12-04;01-28-53-358624  ;;;  b'Strike Detected! reading of; -266; High, Low; 166, -179; Current Danger Level; 3; at tic; 48289188\r\n'
2021-12-04;01-37-30-259074  ;;;  b'Strike Detected! reading of; -262; High, Low; 173, -181; Current Danger Level; 2; at tic; 48806111\r\n'
2021-12-04;01-39-13-092739  ;;;  b'Strike Detected! reading of; 237; High, Low; 173, -181; Current Danger Level; 3; at tic; 48908963\r\n'
2021-12-04;01-39-13-141708  ;;;  b'Strike Detected! reading of; 231; High, Low; 173, -181; Current Danger Level; 4; at tic; 48908965\r\n'
2021-12-04;01-49-30-226431  ;;;  b'Strike Detected! reading of; 246; High, Low; 178, -183; Current Danger Level; 2; at tic; 49526014\r\n'
2021-12-04;01-54-38-595257  ;;;  b'Strike Detected! reading of; 254; High, Low; 178, -180; Current Danger Level; 2; at tic; 49834312\r\n'
2021-12-04;02-04-54-272135  ;;;  b'Strike Detected! reading of; 263; High, Low; 175, -180; Current Danger Level; 1; at tic; 50450161\r\n'
2021-12-04;02-20-21-853030  ;;;  b'Strike Detected! reading of; 237; High, Low; 175, -178; Current Danger Level; 1; at tic; 51377751\r\n'
2021-12-04;02-27-12-513722  ;;;  b'Strike Detected! reading of; -261; High, Low; 173, -178; Current Danger Level; 1; at tic; 51788422\r\n'
2021-12-04;02-46-02-435378  ;;;  b'Strike Detected! reading of; 236; High, Low; 175, -181; Current Danger Level; 1; at tic; 52918365\r\n'
2021-12-04;02-46-02-453374  ;;;  b'Strike Detected! reading of; 240; High, Low; 175, -181; Current Danger Level; 2; at tic; 52918367\r\n'
2021-12-04;02-59-41-340366  ;;;  b'Strike Detected! reading of; 249; High, Low; 175, -178; Current Danger Level; 1; at tic; 53737279\r\n'
