
2021-12-15;00-01-12-452621  ;;;  b'Strike Detected! reading of; 260; High, Low; 192, -246; Current anger Level; 1; at tic; 709690288\r\n'
2021-12-15;00-04-36-474377  ;;;  b'Strike Detected! reading of; 268; High, Low; 194, -216; Current Danger Level; 2; at tic; 709894298\r\n'
2021-12-15;00-15-01-270205  ;;;  b'Strike Detected! reading of; 566; High, Low; 191, -247; Current Danger Level; 1; at tic; 710519116\r\n'
2021-12-15;00-15-01-384169  ;;;  b'Strike Detected! reading of; 374; High, Low; 191, -247; Current Danger Level; 2; at tic; 710519118'
2021-12-15;00-37-03-850529  ;;;  b'Strike Detected! reading of; 282; High, Low; 192, -218; Current Danger Level; 1; at tic; 711841629'
2021-12-15;00-42-01-272956  ;;;  b'Strike Detected! reading of; 260; High, Low; 192, -214; Current Danger Level; 1; at tic; 712139140\r\n'
2021-12-15;00-47-19-245862  ;;;  b'Strike Detected! reading of; 355; High, Low; 192, -213; Current Danger Level; 1; at tic; 712457128\r\n'
2021-12-15;00-47-19-369824  ;;;  b'Strike Detected! reading of; 259; High, Low; 192, -213; Current Danger Level; 2; at tic; 712457131'
2021-12-15;01-27-52-197498  ;;;  b'Strike Detected! reading of; 268; High, Low; 192, -219; Current Danger Level; 1; at tic; 714890084\r\n'
2021-12-15;01-34-25-974055  ;;;  b'Strike Detected! reading of; 302; High, Low; 205, -213; Current Danger Level; 1; at tic; 715283807'
2021-12-15;01-39-56-239638  ;;;  b'Strike Detected! reading of; 343; High, Low; 194, -223; Current Danger Level; 1; at tic; 715614078'
2021-12-15;01-43-09-337855  ;;;  b'Strike Detected! reading of; 266; High, Low; 195, -214; Current Danger Level; 1; at tic; 715807163'
2021-12-15;01-51-38-493859  ;;;  b'Strike Detected! reading of; 273; High, Low; 193, -221; Current Danger Level; 1; at tic; 716316394\r\n'
2021-12-15;02-00-07-740916  ;;;  b'Strike Detected! reading of; 267; High, Low; 195, -221; Current Danger Level; 1; at tic; 716825640\r\n'
2021-12-15;02-47-41-627185  ;;;  b'Strike Detected! reading of; 272; High, Low; 190, -215; Current Danger Level; 1; at tic; 719679467'
2021-12-15;03-01-16-508520  ;;;  b'Strike Detected! reading of; 260; High, Low; 190, -218; Current Danger Level; 1; at tic; 720494417'
2021-12-15;03-09-46-160087  ;;;  b'Strike Detected! reading of; 258; High, Low; 193, -226; Current Danger Level; 1; at tic; 721004171\r\n'
2021-12-15;03-14-51-758888  ;;;  b'Strike Detected! reading of; 267; High, Low; 195, -220; Current Danger Level; 1; at tic; 721309774\r\n'
2021-12-15;03-16-14-880724  ;;;  b'Strike Detected! reading of; 268; High, Low; 194, -214; Current Danger Level; 2; at tic; 721392795'
2021-12-15;03-28-27-529092  ;;;  b'Strike Detected! reading of; 260; High, Low; 192, -216; Current Danger Level; 1; at tic; 722125513\r\n'
2021-12-15;03-42-03-792458  ;;;  b'Strike Detected! reading of; 286; High, Low; 191, -213; Current Danger Level; 1; at tic; 722941802\r\n'
2021-12-15;03-45-27-482340  ;;;  b'Strike Detected! reading of; 261; High, Low; 193, -215; Current Danger Level; 1; at tic; 723145501\r\n'
2021-12-15;04-04-07-847754  ;;;  b'Strike Detected! reading of; 258; High, Low; 191, -221; Current Danger Level; 1; at tic; 724265911\r\n'
2021-12-15;04-53-03-854737  ;;;  b'Strike Detected! reading of; 326; High, Low; 193, -230; Current Danger Level; 1; at tic; 727201884'
2021-12-15;05-12-04-119607  ;;;  b'Strike Detected! reading of; 271; High, Low; 195, -212; Current Danger Level; 1; at tic; 728342252\r\n'
2021-12-15;05-13-45-976543  ;;;  b'Strike Detected! reading of; 264; High, Low; 196, -212; Current Danger Level; 1; at tic; 728444102\r\n'
2021-12-15;05-38-25-710206  ;;;  b'Strike Detected! reading of; 265; High, Low; 197, -215; Current Danger Level; 1; at tic; 729923783'
2021-12-15;05-49-24-950763  ;;;  b'Strike Detected! reading of; 267; High, Low; 191, -214; Current Danger Level; 1; at tic; 730583119\r\n'
2021-12-15;05-51-06-924610  ;;;  b'Strike Detected! reading of; 258; High, Low; 193, -215; Current Danger Level; 2; at tic; 730685004'
2021-12-15;05-53-03-795903  ;;;  b'Strike Detected! reading of; 328; High, Low; 208, -210; Current Danger Level; 3; at tic; 730801885'
2021-12-15;06-04-40-387295  ;;;  b'Strike Detected! reading of; 270; High, Low; 193, -213; Current Danger Level; 1; at tic; 731498553\r\n'
2021-12-15;06-11-28-018684  ;;;  b'Strike Detected! reading of; 264; High, Low; 194, -213; Current Danger Level; 1; at tic; 731906202\r\n'
2021-12-15;07-02-24-485032  ;;;  b'Strike Detected! reading of; 262; High, Low; 196, -208; Current Danger Level; 1; at tic; 734962727\r\n'
2021-12-15;07-44-30-742557  ;;;  b'Strike Detected! reading of; 528; High, Low; 195, -210; Current Danger Level; 1; at tic; 737488932'
2021-12-15;07-53-03-677167  ;;;  b'Strike Detected! reading of; 274; High, Low; 198, -210; Current Danger Level; 1; at tic; 738001886'
2021-12-15;07-56-45-748362  ;;;  b'Strike Detected! reading of; 303; High, Low; 196, -213; Current Danger Level; 1; at tic; 738224046\r\n'
2021-12-15;08-13-45-609591  ;;;  b'Strike Detected! reading of; 272; High, Low; 198, -202; Current Danger Level; 1; at tic; 739243923\r\n'
2021-12-15;08-17-09-594370  ;;;  b'Strike Detected! reading of; 274; High, Low; 200, -203; Current Danger Level; 1; at tic; 739447911\r\n'
2021-12-15;08-18-51-885160  ;;;  b'Strike Detected! reading of; 272; High, Low; 202, -208; Current Danger Level; 2; at tic; 739550116'
2021-12-15;08-25-39-237891  ;;;  b'Strike Detected! reading of; 273; High, Low; 198, -210; Current Danger Level; 1; at tic; 739957533\r\n'
2021-12-15;10-02-26-409086  ;;;  b'Strike Detected! reading of; 269; High, Low; 192, -213; Current Danger Level; 1; at tic; 745764832\r\n'
2021-12-15;10-29-37-880521  ;;;  b'Strike Detected! reading of; 268; High, Low; 192, -217; Current Danger Level; 1; at tic; 747396273\r\n'
2021-12-15;10-53-03-503050  ;;;  b'Strike Detected! reading of; 335; High, Low; 194, -217; Current Danger Level; 1; at tic; 748801890'
2021-12-15;11-12-13-467058  ;;;  b'Strike Detected! reading of; 265; High, Low; 197, -218; Current Danger Level; 1; at tic; 749951956\r\n'
2021-12-15;11-53-03-443840  ;;;  b'Strike Detected! reading of; 326; High, Low; 194, -210; Current Danger Level; 1; at tic; 752401890'
2021-12-15;11-58-04-728998  ;;;  b'Strike Detected! reading of; 264; High, Low; 193, -212; Current Danger Level; 1; at tic; 752703264\r\n'
2021-12-15;12-09-57-889507  ;;;  b'Strike Detected! reading of; 261; High, Low; 194, -213; Current Danger Level; 1; at tic; 753416429\r\n'
2021-12-15;12-33-43-588714  ;;;  b'Strike Detected! reading of; 274; High, Low; 193, -216; Current Danger Level; 1; at tic; 754842159\r\n'
2021-12-15;12-52-25-275136  ;;;  b'Strike Detected! reading of; 277; High, Low; 192, -217; Current Danger Level; 1; at tic; 755963864\r\n'
2021-12-15;12-53-03-385138  ;;;  b'Strike Detected! reading of; 313; High, Low; 213, -217; Current Danger Level; 2; at tic; 756001892'
2021-12-15;13-12-49-020918  ;;;  b'Strike Detected! reading of; 260; High, Low; 194, -213; Current Danger Level; 1; at tic; 757187630\r\n'
2021-12-15;13-12-49-156875  ;;;  b'Strike Detected! reading of; 261; High, Low; 194, -213; Current Danger Level; 2; at tic; 757187678'
2021-12-15;13-21-18-654492  ;;;  b'Strike Detected! reading of; 261; High, Low; 195, -216; Current Danger Level; 1; at tic; 757697270\r\n'
2021-12-15;13-53-03-329926  ;;;  b'Strike Detected! reading of; 311; High, Low; 192, -217; Current Danger Level; 1; at tic; 759601892'
2021-12-15;15-07-51-015265  ;;;  b'Strike Detected! reading of; 479; High, Low; 196, -215; Current Danger Level; 1; at tic; 764089652'
