
2022-02-05;12-12-20-369882  ;;;  Searching for devices...
2022-02-05;12-12-23-020103  ;;;  Device detected on COM port COM5!
2022-02-05;12-21-30-393065  ;;;  Searching for devices...
2022-02-05;12-21-33-039612  ;;;  Device detected on COM port COM5!
2022-02-05;13-37-33-831391  ;;;  b'Strike Detected! reading of; 71; High, Low; 27, -12; Current DangerLevel; 1; at tic; 4558813'
2022-02-05;13-41-26-327295  ;;;  b'Strike Detected! reading of; 40; High, Low; 26, -11; Current Danger Level; 1; at tic; 4791387\r\n'
2022-02-05;13-41-26-358541  ;;;  b'Strike Detected! reading of; 36; High, Low; 26, -11; Current Danger Level; 3; at tic; 4791391\r\n'
2022-02-05;13-41-29-603577  ;;;  b'Strike Detected! reading of; 42; High, Low; 26, -11; Current Danger Level; 4; at tic; 4791394\r\n'
2022-02-05;13-41-29-634829  ;;;  b'Strike Detected! reading of; 39; High, Low; 26, -11; Current Danger Level; 5; at tic; 4791396\r\n'
2022-02-05;13-41-29-666080  ;;;  b'Strike Detected! reading of; 42; High, Low; 26, -11; Current Danger Level; 6; at tic; 4791397\r\n'
2022-02-05;13-41-29-712958  ;;;  b'Strike Detected! reading of; 61; High, Low; 26, -11; Current Danger Level; 6; at tic; 4791399\r\n'
2022-02-05;13-41-29-744217  ;;;  b'Strike Detected! reading of; 47; High, Low; 26, -11; Current Danger Level; 6; at tic; 4791401\r\n'
2022-02-05;13-41-29-791085  ;;;  b'Strike Detected! reading of; 44; High, Low; 26, -11; Current Danger Level; 6; at tic; 4791404\r\n'
2022-02-05;13-41-29-822343  ;;;  b'Strike Detected! reading of; 41; High, Low; 26, -11; Current Danger Level; 6; at tic; 4791410\r\n'
2022-02-05;13-41-29-853594  ;;;  b'Strike Detected! reading of; 45; High, Low; 26, -11; Current Danger Level; 6; at tic; 4791412\r\n'
2022-02-05;13-41-29-884845  ;;;  b'Strike Detected! reading of; 35; High, Low; 26, -11; Current Danger Level; 6; at tic; 4791414\r\n'
2022-02-05;13-41-29-916094  ;;;  b'Strike Detected! reading of; 51; High, Low; 26, -11; Current Danger Level; 6; at tic; 4791416\r\n'
2022-02-05;13-41-29-947344  ;;;  b'Strike Detected! reading of; 43; High, Low; 26, -11; Current Danger Level; 6; at tic; 4791417\r\n'
2022-02-05;13-41-29-978597  ;;;  b'Strike Detected! reading of; 35; High, Low; 26, -11; Current Danger Level; 6; at tic; 4791420\r\n'
2022-02-05;13-41-30-009847  ;;;  b'Strike Detected! reading of; 35; High, Low; 26, -11; Current Danger Level; 6; at tic; 4791422\r\n'
2022-02-05;13-41-30-041101  ;;;  b'Strike Detected! reading of; 39; High, Low; 26, -11; Current Danger Level; 6; at tic; 4791429\r\n'
2022-02-05;13-41-30-072350  ;;;  b'Strike Detected! reading of; 36; High, Low; 26, -11; Current Danger Level; 6; at tic; 4791432\r\n'
2022-02-05;13-41-30-103600  ;;;  b'Strike Detected! reading of; 49; High, Low; 26, -11; Current Danger Level; 6; at tic; 4791434\r\n'
2022-02-05;13-41-30-134856  ;;;  b'Strike Detected! reading of; 36; High, Low; 26, -11; Current Danger Level; 6; at tic; 4791439\r\n'
2022-02-05;13-41-30-166107  ;;;  b'Strike Detected! reading of; 40; High, Low; 26, -11; Current Danger Level; 6; at tic; 4791449\r\n'
2022-02-05;13-41-30-197359  ;;;  b'Strike Detected! reading of; 43; High, Low; 26, -11; Current Danger Level; 6; at tic; 4792200\r\n'
2022-02-05;13-41-30-244237  ;;;  b'Strike Detected! reading of; 52; High, Low; 26, -11; Current Danger Level; 6; at tic; 4792202\r\n'
2022-02-05;13-41-30-275488  ;;;  b'Strike Detected! reading of; 52; High, Low; 26, -11; Current Danger Level; 6; at tic; 4792204\r\n'
2022-02-05;13-41-30-306744  ;;;  b'Strike Detected! reading of; 56; High, Low; 26, -11; Current Danger Level; 6; at tic; 4792206\r\n'
2022-02-05;13-41-30-337987  ;;;  b'Strike Detected! reading of; 44; High, Low; 26, -11; Current Danger Level; 6; at tic; 4792208\r\n'
2022-02-05;13-41-30-369243  ;;;  b'Strike Detected! reading of; 46; High, Low; 26, -11; Current Danger Level; 6; at tic; 4792209\r\n'
2022-02-05;13-41-30-400492  ;;;  b'Strike Detected! reading of; 49; High, Low; 26, -11; Current Danger Level; 6; at tic; 4792211\r\n'
2022-02-05;13-41-30-431748  ;;;  b'Strike Detected! reading of; 40; High, Low; 26, -11; Current Danger Level; 6; at tic; 4792213\r\n'
2022-02-05;13-41-30-462994  ;;;  b'Strike Detected! reading of; 57; High, Low; 26, -11; Current Danger Level; 6; at tic; 4792215\r\n'
2022-02-05;13-41-30-509871  ;;;  b'Strike Detected! reading of; 55; High, Low; 26, -11; Current Danger Level; 6; at tic; 4792217\r\n'
2022-02-05;13-41-30-541127  ;;;  b'Strike Detected! reading of; 39; High, Low; 26, -11; Current Danger Level; 6; at tic; 4792219\r\n'
2022-02-05;13-41-30-572379  ;;;  b'Strike Detected! reading of; 39; High, Low; 26, -11; Current Danger Level; 6; at tic; 4792222\r\n'
2022-02-05;13-41-30-603634  ;;;  b'Strike Detected! reading of; 39; High, Low; 26, -11; Current Danger Level; 6; at tic; 4792226\r\n'
2022-02-05;13-41-30-634918  ;;;  b'Strike Detected! reading of; 35; High, Low; 26, -11; Current DangerLevel; 6; at tic; 4792231\r\n'
2022-02-05;13-41-30-666137  ;;;  b'Strike Detected! reading of; 41; High, Low; 26, -11; Current Danger Level; 6; at tic; 4792282\r\n'
2022-02-05;13-41-30-713009  ;;;  b'Strike Detected! reading of; 36; High, Low; 26, -11; Current Danger Level; 6; at tic; 4792289\r\n'
2022-02-05;13-41-30-744261  ;;;  b'Strike Detected! reading of; 40; High, Low; 26, -11; Current Danger Level; 6; at tic; 4792295\r\n'
2022-02-05;13-41-30-775516  ;;;  b'Strike Detected! reading of; 49; High, Low; 26, -11; Current Danger Level; 6; at tic; 4792299\r\n'
2022-02-05;13-41-30-806768  ;;;  b'Strike Detected! reading of; 36; High, Low; 26, -11; Current Danger Level; 6; at tic; 4792304\r\n'
2022-02-05;13-41-30-838014  ;;;  b'Strike Detected! reading of; 36; High, Low; 26, -11; Current Danger Level; 6; at tic; 4792309\r\n'
2022-02-05;13-41-30-869265  ;;;  b'Strike Detected! reading of; 42; High, Low; 26, -11; Current Danger Level; 6; at tic; 4792311\r\n'
2022-02-05;13-41-30-884903  ;;;  b'Strike Detected! reading of; 40; High, Low; 26, -11; Current Danger Level; 6; at tic; 4792314\r\n'
2022-02-05;13-41-30-916143  ;;;  b'Strike Detected! reading of; 37; High, Low; 26, -11; Current Danger Level; 6; at tic; 4792316\r\n'
2022-02-05;13-41-30-947393  ;;;  b'Strike Detected! reading of; 35; High, Low; 26, -11; Current Danger Level; 6; at tic; 4792321\r\n'
2022-02-05;13-41-30-978647  ;;;  b'Strike Detected! reading of; 36; High, Low; 26, -11; Current Danger Level; 6; at tic; 4792327\r\n'
2022-02-05;13-41-31-009896  ;;;  b'Strike Detected! reading of; 38; High, Low; 26, -11; Current Danger Level; 6; at tic; 4792329\r\n'
2022-02-05;13-41-31-041149  ;;;  b'Strike Detected! reading of; 38; High, Low; 26, -11; Current Danger Level; 6; at tic; 4792331\r\n'
2022-02-05;13-41-31-072398  ;;;  b'Strike Detected! reading of; 39; High, Low; 26, -11; Current Danger Level; 6; at tic; 4792333\r\n'
2022-02-05;13-41-31-103651  ;;;  b'Strike Detected! reading of; 35; High, Low; 26, -11; Current Danger Level; 6; at tic; 4792338\r\n'
2022-02-05;13-41-31-134903  ;;;  b'Strike Detected! reading of; 40; High, Low; 26, -11; Current Danger Level; 6; at tic; 4792344\r\n'
2022-02-05;13-41-31-150533  ;;;  b'Strike Detected! reading of; 36; High, Low; 26, -11; Current Danger Level; 6; at tic; 4792348\r\n'
2022-02-05;13-41-31-197408  ;;;  b'Strike Detected! reading of; 37; High, Low; 26, -11; Current Danger Level; 6; at tic; 4792351\r\n'
2022-02-05;13-41-31-228656  ;;;  b'Strike Detected! reading of; 36; High, Low; 26, -11; Current Danger Level; 6; at tic; 4792355\r\n'
2022-02-05;13-41-31-259908  ;;;  b'Strike Detected! reading of; 37; High, Low; 26, -11; Current Danger Level; 6; at tic; 4792363\r\n'
2022-02-05;13-41-31-275541  ;;;  b'Strike Detected! reading of; 37; High, Low; 26, -11; Current Danger Level; 6; at tic; 4792366\r\n'
2022-02-05;13-41-31-400542  ;;;  b'Strike Detected! reading of; 36; High, Low; 26, -11; Current Danger Level; 6; at tic; 4792382'
2022-02-05;13-41-35-588250  ;;;  b'Strike Detected! reading of; 37; High, Low; 26, -11; Current Danger Level; 6; at tic; 4800645\r\n'
2022-02-05;13-41-35-697624  ;;;  b'Strike Detected! reading of; 38; High, Low; 26, -11; Current Danger Level; 6; at tic; 4800662'
