
2022-04-18;02-02-11-113458  ;;;  b'Strike Detected! reading of; 736; High, Low; 304, -452; Current Danger Level; 1; at tic; 54886694'
2022-04-18;02-51-58-404373  ;;;  b'Strike Detected! reading of; 425; High, Low; 302, -450; Current Danger Level; 1; at tic; 57874002'
2022-04-18;03-21-33-525818  ;;;  b'Strike Detected! reading of; 409; High, Low; 304, -452; Current Danger Level; 1; at tic; 59649224\r\n'
2022-04-18;03-32-10-516491  ;;;  b'Strike Detected! reading of; 436; High, Low; 303, -454; Current Danger Level; 1; at tic; 60286144'
2022-04-18;03-39-27-622803  ;;;  b'Strike Detected! reading of; 488; High, Low; 299, -454; Current Danger Level; 1; at tic; 60723256'
2022-04-18;03-57-05-971973  ;;;  b'Strike Detected! reading of; 716; High, Low; 306, -445; Current Danger Level; 1; at tic; 61781603'
2022-04-18;04-58-23-581137  ;;;  b'Strike Detected! reading of; 841; High, Low; 307, -448; Current Danger Level; 1; at tic; 65459254'
2022-04-18;05-44-29-404607  ;;;  b'Strike Detected! reading of; 405; High, Low; 300, -454; Current Danger Level; 1; at tic; 68225289\r\n'
2022-04-18;07-13-38-698304  ;;;  b'Strike Detected! reading of; 423; High, Low; 299, -458; Current Danger Level; 1; at tic; 73574654'
2022-04-18;07-26-50-323285  ;;;  b'Strike Detected! reading of; 402; High, Low; 300, -457; Current Danger Level; 1; at tic; 74366383\r\n'
2022-04-18;07-46-52-782670  ;;;  b'Strike Detected! reading of; 400; High, Low; 297, -456; Current Danger Level; 1; at tic; 75568855\r\n'
2022-04-18;09-52-59-494950  ;;;  b'Strike Detected! reading of; 409; High, Low; 305, -468; Current Danger Level; 1; at tic; 83135672\r\n'
2022-04-18;10-56-01-127455  ;;;  b'Strike Detected! reading of; 559; High, Low; 305, -460; Current Danger Level; 1; at tic; 86917261'
2022-04-18;11-09-40-627543  ;;;  b'Strike Detected! reading of; 427; High, Low; 305, -470; Current Danger Level; 1; at tic; 87736862\r\n'
2022-04-18;11-13-51-192931  ;;;  b'Strike Detected! reading of; 639; High, Low; 307, -469; Current Danger Level; 1; at tic; 87987344'
2022-04-18;11-25-52-771802  ;;;  b'Strike Detected! reading of; 668; High, Low; 310, -467; Current Danger Level; 1; at tic; 88708924'
2022-04-18;11-35-16-863737  ;;;  b'Strike Detected! reading of; 415; High, Low; 306, -466; Current Danger Level; 1; at tic; 89273108\r\n'
2022-04-18;12-48-21-045114  ;;;  b'Strike Detected! reading of; 429; High, Low; 306, -464; Current Danger Level; 1; at tic; 93657333\r\n'
2022-04-18;15-45-45-086691  ;;;  b'Strike Detected! reading of; 431; High, Low; 315, -466; Current Danger Level; 1; at tic; 104301629\r\n'
2022-04-18;15-49-25-729010  ;;;  b'Strike Detected! reading of; 430; High, Low; 313, -473; Current Danger Level; 1; at tic; 104522289\r\n'
2022-04-18;16-09-32-548191  ;;;  b'Strike Detected! reading of; 424; High, Low; 316, -498; Current Danger Level; 1; at tic; 105729045'
2022-04-18;16-40-42-657449  ;;;  b'Strike Detected! reading of; 429; High, Low; 306, -468; Current Danger Level; 1; at tic; 107599275\r\n'
2022-04-18;16-53-27-881964  ;;;  b'Strike Detected! reading of; 438; High, Low; 309, -467; Current Danger Level; 1; at tic; 108364510\r\n'
2022-04-18;17-48-15-966052  ;;;  b'Strike Detected! reading of; 432; High, Low; 315, -463; Current Danger Level; 1; at tic; 111652652\r\n'
2022-04-18;18-25-03-299859  ;;;  b'Strike Detected! reading of; 422; High, Low; 312, -459; Current Danger Level; 1; at tic; 113860015\r\n'
2022-04-18;18-39-47-803213  ;;;  b'Strike Detected! reading of; 427; High, Low; 307, -470; Current Danger Level; 1; at tic; 114744529\r\n'
2022-04-18;18-52-36-604008  ;;;  b'Strike Detected! reading of; 428; High, Low; 304, -466; Current Danger Level; 1; at tic; 115513351\r\n'
2022-04-18;19-54-52-085814  ;;;  b'Strike Detected! reading of; 414; High, Low; 306, -468; Current Danger Level; 1; at tic; 119248873\r\n'
2022-04-18;20-14-55-576377  ;;;  b'Strike Detected! reading of; 464; High, Low; 312, -472; Current Danger Level; 1; at tic; 120452375\r\n'
2022-04-18;23-18-41-804815  ;;;  b'Strike Detected! reading of; 522; High, Low; 310, -459; Current Danger Level; 1; at tic; 131478626'
2022-04-18;23-27-01-978182  ;;;  b'Strike Detected! reading of; 561; High, Low; 310, -466; Current Danger Level; 1; at tic; 131978814'
